time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-05-20 00:00:00+00:00,5,5,33,2
2021-05-21 00:00:00+00:00,13,12,195,9
2021-05-22 00:00:00+00:00,2,2,142,3
2021-05-23 00:00:00+00:00,36,24,180,4
2021-05-24 00:00:00+00:00,24,20,223,6
2021-05-25 00:00:00+00:00,0,0,16,5
2021-05-26 00:00:00+00:00,2,2,38,4
2021-05-27 00:00:00+00:00,4,3,63,7
2021-05-28 00:00:00+00:00,1,1,159,5
2021-05-29 00:00:00+00:00,11,7,85,6
2021-05-30 00:00:00+00:00,18,8,104,6
2021-05-31 00:00:00+00:00,21,15,152,9
2021-06-01 00:00:00+00:00,3,3,142,24
2021-06-02 00:00:00+00:00,1,1,50,15
2021-06-03 00:00:00+00:00,6,6,187,15
2021-06-04 00:00:00+00:00,1,1,200,13
2021-06-05 00:00:00+00:00,5,5,42,4
2021-06-06 00:00:00+00:00,4,3,72,6
2021-06-07 00:00:00+00:00,6,6,949,39
2021-06-08 00:00:00+00:00,6,6,626,31
2021-06-09 00:00:00+00:00,4,4,255,23
2021-06-10 00:00:00+00:00,4,4,655,21
2021-06-11 00:00:00+00:00,12,10,438,14
2021-06-12 00:00:00+00:00,7,6,245,7
2021-06-13 00:00:00+00:00,13,6,252,10
2021-06-14 00:00:00+00:00,5,5,725,36
2021-06-15 00:00:00+00:00,5,5,357,22
2021-06-16 00:00:00+00:00,5,4,395,17
2021-06-17 00:00:00+00:00,8,6,138,12
2021-06-18 00:00:00+00:00,13,8,294,19
2021-06-19 00:00:00+00:00,6,5,49,4
2021-06-20 00:00:00+00:00,5,4,68,7
2021-06-21 00:00:00+00:00,8,7,182,18
2021-06-22 00:00:00+00:00,11,10,208,15
2021-06-23 00:00:00+00:00,2,2,55,14
2021-06-24 00:00:00+00:00,1,1,20,2
2021-06-25 00:00:00+00:00,2,2,23,5
2021-06-26 00:00:00+00:00,2,2,3,2
2021-06-27 00:00:00+00:00,1,1,23,4
2021-06-28 00:00:00+00:00,5,5,69,11
2021-06-29 00:00:00+00:00,13,11,116,13
2021-06-30 00:00:00+00:00,13,9,144,9
2021-07-01 00:00:00+00:00,12,9,140,15
2021-07-02 00:00:00+00:00,6,5,107,12
2021-07-03 00:00:00+00:00,11,6,83,5
2021-07-04 00:00:00+00:00,1,1,127,8
2021-07-05 00:00:00+00:00,5,4,394,30
2021-07-06 00:00:00+00:00,3,3,225,20
2021-07-07 00:00:00+00:00,1,1,178,11
2021-07-08 00:00:00+00:00,2,2,233,19
2021-07-09 00:00:00+00:00,1,1,149,17
2021-07-10 00:00:00+00:00,7,5,61,6
2021-07-11 00:00:00+00:00,3,3,46,6
2021-07-12 00:00:00+00:00,2,2,180,15
2021-07-13 00:00:00+00:00,10,7,231,29
2021-07-14 00:00:00+00:00,3,3,182,22
2021-07-15 00:00:00+00:00,6,6,67,11
2021-07-16 00:00:00+00:00,8,3,102,11
2021-07-17 00:00:00+00:00,2,2,39,9
2021-07-18 00:00:00+00:00,2,2,87,6
2021-07-19 00:00:00+00:00,1,1,203,21
2021-07-20 00:00:00+00:00,4,4,12,3
2021-07-21 00:00:00+00:00,4,4,217,18
2021-07-22 00:00:00+00:00,1,1,136,17
2021-07-23 00:00:00+00:00,1,1,70,10
2021-07-24 00:00:00+00:00,2,2,15,5
2021-07-25 00:00:00+00:00,2,2,24,7
2021-07-26 00:00:00+00:00,7,5,164,17
2021-07-27 00:00:00+00:00,6,6,329,27
2021-07-28 00:00:00+00:00,1,1,128,13
2021-07-29 00:00:00+00:00,2,2,72,10
2021-07-30 00:00:00+00:00,5,5,134,13
2021-07-31 00:00:00+00:00,22,9,201,10
2021-08-01 00:00:00+00:00,5,5,96,8
2021-08-02 00:00:00+00:00,2,2,258,16
2021-08-03 00:00:00+00:00,6,6,226,25
2021-08-04 00:00:00+00:00,1,1,99,17
2021-08-05 00:00:00+00:00,1,1,259,11
2021-08-06 00:00:00+00:00,4,3,410,26
2021-08-07 00:00:00+00:00,2,2,61,5
2021-08-08 00:00:00+00:00,1,1,153,10
2021-08-09 00:00:00+00:00,1,1,1077,47
2021-08-10 00:00:00+00:00,1,1,342,24
2021-08-11 00:00:00+00:00,2,2,40,4
2021-08-12 00:00:00+00:00,3,3,15,6
2021-08-13 00:00:00+00:00,0,0,31,7
2021-08-14 00:00:00+00:00,2,2,5,4
2021-08-15 00:00:00+00:00,1,1,6,3
2021-08-16 00:00:00+00:00,1,1,11,5
2021-08-17 00:00:00+00:00,1,1,1,1
2021-08-18 00:00:00+00:00,2,2,5,5
2021-08-19 00:00:00+00:00,1,1,0,0
2021-08-20 00:00:00+00:00,1,1,1,1
2021-08-21 00:00:00+00:00,2,2,0,0
2021-08-22 00:00:00+00:00,2,2,8,3
2021-08-23 00:00:00+00:00,2,2,80,8
2021-08-24 00:00:00+00:00,3,3,62,5
2021-08-25 00:00:00+00:00,3,3,7,4
2021-08-26 00:00:00+00:00,2,2,2,2
2021-08-27 00:00:00+00:00,2,2,24,3
2021-08-28 00:00:00+00:00,3,3,0,0
2021-08-29 00:00:00+00:00,2,2,10,3
2021-08-30 00:00:00+00:00,3,3,99,10
2021-08-31 00:00:00+00:00,1,1,35,5
2021-09-01 00:00:00+00:00,2,2,26,3
2021-09-02 00:00:00+00:00,2,2,1,1
2021-09-03 00:00:00+00:00,2,2,1,1
2021-09-04 00:00:00+00:00,1,1,0,0
2021-09-05 00:00:00+00:00,2,2,6,1
2021-09-06 00:00:00+00:00,1,1,5,3
2021-09-07 00:00:00+00:00,2,2,84,4
2021-09-08 00:00:00+00:00,1,1,27,6
2021-09-09 00:00:00+00:00,2,2,44,6
2021-09-10 00:00:00+00:00,1,1,15,3
2021-09-11 00:00:00+00:00,2,2,0,0
2021-09-12 00:00:00+00:00,2,2,2,2
2021-09-13 00:00:00+00:00,1,1,12,3
2021-09-14 00:00:00+00:00,1,1,0,0
2021-09-15 00:00:00+00:00,1,1,12,4
2021-09-16 00:00:00+00:00,2,2,3,3
2021-09-17 00:00:00+00:00,1,1,25,6
2021-09-18 00:00:00+00:00,2,2,2,1
2021-09-19 00:00:00+00:00,2,2,1,1
2021-09-20 00:00:00+00:00,3,3,3,3
2021-09-21 00:00:00+00:00,2,2,4,2
2021-09-22 00:00:00+00:00,2,2,3,3
2021-09-23 00:00:00+00:00,2,2,21,2
2021-09-24 00:00:00+00:00,1,1,44,4
2021-09-25 00:00:00+00:00,2,2,12,2
2021-09-26 00:00:00+00:00,2,2,1,1
2021-09-27 00:00:00+00:00,1,1,3,2
2021-09-28 00:00:00+00:00,3,3,7,2
2021-09-29 00:00:00+00:00,2,2,3,2
2021-09-30 00:00:00+00:00,2,2,10,5
2021-10-01 00:00:00+00:00,1,1,11,1
2021-10-02 00:00:00+00:00,2,2,0,0
2021-10-03 00:00:00+00:00,1,1,2,1
2021-10-04 00:00:00+00:00,1,1,14,4
2021-10-05 00:00:00+00:00,3,3,18,1
2021-10-06 00:00:00+00:00,1,1,47,2
2021-10-07 00:00:00+00:00,2,2,15,2
2021-10-08 00:00:00+00:00,1,1,4,2
2021-10-09 00:00:00+00:00,2,2,0,0
